C2,AUDUSD,EURUSD,GBPUSD,NZDUSD,USDCAD,USDCHF,USDJPY
40182.25,0.89842,1.43061,1.6109,0.724,1.05055,1.03613,93.06
40182.26042,0.89942,1.43165,1.61235,0.7243,1.0501,1.0359,93.06
40182.27083,0.89912,1.43211,1.61155,0.72468,1.0475,1.0349,93.05
40182.28125,0.89937,1.43244,1.61205,0.72482,1.04675,1.0347,92.92
40182.29167,0.89932,1.43287,1.61295,0.72489,1.04795,1.03485,92.905
40182.30208,0.89893,1.43223,1.613,0.72441,1.04725,1.035,92.825
40182.3125,0.89831,1.43262,1.61405,0.7241,1.04715,1.03485,92.755
40182.32292,0.89713,1.43141,1.61375,0.72355,1.04715,1.0361,92.735
40182.33333,0.89688,1.42894,1.61065,0.7228,1.04835,1.03725,92.855
40182.34375,0.89748,1.4312,1.61295,0.72265,1.0477,1.03455,92.795
40182.35417,0.89671,1.43001,1.61225,0.72165,1.0484,1.03635,92.94
40182.36458,0.89641,1.42886,1.612,0.7215,1.04965,1.03745,92.9
40182.375,0.89551,1.42841,1.6115,0.72115,1.0504,1.03805,92.91
40182.38542,0.89591,1.42797,1.61135,0.72075,1.05015,1.038,92.955
40182.39583,0.89416,1.42617,1.60965,0.71975,1.0514,1.0394,93.05
40182.40625,0.89511,1.42693,1.609,0.71995,1.0496,1.03915,92.975
40182.41667,0.89661,1.42858,1.60985,0.72105,1.0471,1.0376,92.89
40182.42708,0.89521,1.42785,1.60995,0.7204,1.04705,1.0375,92.88
40182.4375,0.89546,1.42842,1.6104,0.7201,1.0462,1.0375,92.88
40182.44792,0.89618,1.42941,1.6111,0.7207,1.04525,1.037,92.87
40182.45833,0.89601,1.42874,1.61025,0.72025,1.0456,1.037,92.88
40182.46875,0.89561,1.42814,1.6092,0.71965,1.0466,1.03785,92.9
40182.47917,0.89541,1.42742,1.6078,0.7198,1.04755,1.03805,92.84
40182.48958,0.89641,1.42832,1.60885,0.72045,1.04675,1.0373,92.75
40182.5,0.89664,1.42885,1.60875,0.72105,1.0467,1.03715,92.76
40182.51042,0.89681,1.42897,1.6091,0.7209,1.04645,1.0366,92.77
40182.52083,0.89708,1.42951,1.60955,0.72107,1.04605,1.03655,92.76
40182.53125,0.89686,1.42889,1.60905,0.72085,1.04625,1.03715,92.74
40182.54167,0.89711,1.42934,1.609,0.72115,1.04585,1.03665,92.76
40182.55208,0.89756,1.42945,1.6098,0.72145,1.04555,1.0363,92.76
40182.5625,0.89826,1.43044,1.6096,0.722,1.04535,1.0357,92.825
40182.57292,0.89776,1.42987,1.60945,0.7219,1.0454,1.036,92.87
40182.58333,0.89801,1.43063,1.6103,0.7215,1.046,1.0353,92.8
40182.59375,0.89726,1.42882,1.609,0.7216,1.0476,1.0372,92.9
40182.60417,0.89761,1.42913,1.60875,0.7219,1.0474,1.03745,92.935
40182.61458,0.89826,1.42944,1.60875,0.72185,1.04715,1.037,93.045
40182.625,0.89814,1.42819,1.6083,0.72165,1.0475,1.0389,93.06
40182.63542,0.89906,1.42809,1.6074,0.7218,1.04785,1.04105,93.06
40182.64583,0.89871,1.42814,1.60785,0.7216,1.04795,1.0406,93.15
40182.65625,0.90046,1.43028,1.60975,0.7233,1.0466,1.0389,93.035
40182.66667,0.90251,1.43205,1.61415,0.72535,1.0436,1.03675,92.915
40182.67708,0.90141,1.43015,1.61275,0.72445,1.0444,1.0387,92.96
40182.6875,0.90316,1.4318,1.6149,0.7256,1.0432,1.03825,92.905
40182.69792,0.90376,1.43337,1.61515,0.72625,1.0408,1.0372,92.85
40182.70833,0.90356,1.43416,1.61605,0.7256,1.0416,1.03705,92.825
40182.71875,0.90356,1.43511,1.61685,0.72525,1.04165,1.0366,92.815
40182.72917,0.9051,1.43744,1.61855,0.7265,1.0403,1.0342,92.79
40182.73958,0.90541,1.43921,1.62045,0.7266,1.04005,1.03335,92.8
40182.75,0.90608,1.43901,1.62295,0.7273,1.03905,1.03345,92.805
40182.76042,0.90501,1.43815,1.6208,0.7274,1.0399,1.0341,92.825
40182.77083,0.90452,1.43808,1.6197,0.7285,1.04005,1.03415,92.84
40182.78125,0.90441,1.4376,1.6175,0.72745,1.04,1.03515,92.935
40182.79167,0.90561,1.43962,1.62135,0.7279,1.03905,1.0341,92.825
40182.80208,0.90541,1.44025,1.62115,0.72765,1.03875,1.03295,92.8
40182.8125,0.90561,1.43964,1.6212,0.72805,1.03835,1.03365,92.805
40182.82292,0.90561,1.43885,1.62205,0.72875,1.03795,1.0338,92.795
40182.83333,0.90552,1.43984,1.61845,0.72845,1.03835,1.033,92.85
40182.84375,0.90601,1.44008,1.61525,0.7281,1.03925,1.03295,92.86
40182.85417,0.90591,1.43964,1.6161,0.72795,1.03915,1.0328,92.89
40182.86458,0.90576,1.43954,1.6147,0.7281,1.04035,1.0328,92.855
40182.875,0.90576,1.43867,1.6144,0.7279,1.0392,1.0334,92.855
40182.88542,0.90681,1.43951,1.6158,0.72845,1.03915,1.0327,92.825
40182.89583,0.90822,1.44216,1.61695,0.7291,1.0382,1.03095,92.625
40182.90625,0.90805,1.44205,1.6162,0.7288,1.03995,1.031,92.64
40182.91667,0.90852,1.44354,1.61755,0.72995,1.03885,1.02935,92.535
40182.92708,0.90868,1.44372,1.619,0.73025,1.03935,1.0288,92.54
40182.9375,0.90876,1.44236,1.61565,0.73035,1.039,1.0297,92.66
40182.94792,0.90785,1.44254,1.6164,0.72995,1.03985,1.02985,92.605
40182.95833,0.90941,1.4421,1.6167,0.73115,1.0384,1.0298,92.575
40182.96875,0.91061,1.44177,1.6143,0.7321,1.03845,1.0304,92.38
40182.97917,0.91267,1.4444,1.6135,0.73285,1.03615,1.02865,92.245
40182.98958,0.91351,1.44369,1.61195,0.7337,1.03535,1.0278,92.35
40183,0.91257,1.44253,1.6105,0.73285,1.0361,1.0278,92.43
40183.01042,0.91326,1.44255,1.6102,0.7332,1.03875,1.02865,92.525
40183.02083,0.91331,1.4424,1.61245,0.7336,1.0377,1.0286,92.5
40183.03125,0.91313,1.44163,1.61065,0.73245,1.0377,1.02935,92.555
40183.04167,0.91251,1.44156,1.61165,0.73235,1.03825,1.0294,92.585
40183.05208,0.91247,1.44148,1.612,0.73245,1.03875,1.0294,92.66
40183.0625,0.91249,1.4414,1.61215,0.7327,1.03875,1.02935,92.62
40183.07292,0.91209,1.44142,1.61255,0.73225,1.0395,1.0291,92.685
40183.08333,0.91231,1.44159,1.6126,0.73255,1.04055,1.02915,92.615
40183.09375,0.91263,1.44199,1.61125,0.7333,1.04085,1.0291,92.615
40183.10417,0.91277,1.44221,1.6111,0.73355,1.04025,1.02905,92.605
40183.11458,0.91243,1.4411,1.60975,0.73435,1.04075,1.0295,92.605
40183.125,0.91261,1.44205,1.61085,0.73465,1.0414,1.02875,92.53
40183.13542,0.91233,1.4424,1.61095,0.73445,1.0408,1.02845,92.53
40183.14583,0.91137,1.44197,1.61075,0.7338,1.04125,1.0289,92.58
40183.15625,0.91134,1.44107,1.60925,0.7335,1.0422,1.0293,92.59
40183.16667,0.91181,1.44152,1.60965,0.73375,1.04145,1.02925,92.56
40183.17708,0.91241,1.44184,1.6099,0.73395,1.04125,1.02925,92.54
40183.1875,0.91251,1.44202,1.60975,0.7342,1.04155,1.02925,92.545
40183.19792,0.91246,1.44105,1.61005,0.7339,1.04145,1.0298,92.58
40183.20833,0.91261,1.44095,1.60925,0.7339,1.04145,1.0299,92.565
40183.21875,0.91312,1.4408,1.6088,0.73387,1.04155,1.0299,92.56
40183.22917,0.91331,1.44077,1.6087,0.7342,1.04165,1.03015,92.515
40183.23958,0.91258,1.4412,1.6082,0.7341,1.04155,1.02975,92.495
40183.25,0.91264,1.44139,1.6094,0.73425,1.0407,1.0295,92.525
