datetime;speyer;mannheim;worms;mainz
25.06.2017-00:15;315;236;144;244
25.06.2017-00:30;315;236;144;244
25.06.2017-00:45;316;237;143;244
25.06.2017-01:00;316;236;143;243
25.06.2017-01:15;316;237;143;242
25.06.2017-01:30;316;237;143;241
25.06.2017-01:45;315;236;143;240
25.06.2017-02:00;315;235;142;239
25.06.2017-02:15;315;236;143;239
25.06.2017-02:30;315;236;144;239
25.06.2017-02:45;315;234;144;238
25.06.2017-03:00;315;236;143;238
25.06.2017-03:15;316;235;142;238
25.06.2017-03:30;316;235;143;238
25.06.2017-03:45;316;235;141;238
25.06.2017-04:00;316;235;142;240
25.06.2017-04:15;315;236;142;239
25.06.2017-04:30;316;235;142;239
25.06.2017-04:45;315;236;142;240
25.06.2017-05:00;316;236;142;241
25.06.2017-05:15;316;235;142;240
25.06.2017-05:30;316;233;142;240
25.06.2017-05:45;315;234;142;241
25.06.2017-06:00;315;234;142;240
25.06.2017-06:15;316;234;141;239
25.06.2017-06:30;315;234;142;238
25.06.2017-06:45;316;233;140;238
25.06.2017-07:00;316;233;141;239
25.06.2017-07:15;315;234;141;239
25.06.2017-07:30;315;235;141;237
25.06.2017-07:45;315;233;141;238
25.06.2017-08:00;315;233;140;238
25.06.2017-08:15;314;234;141;238
25.06.2017-08:30;314;233;141;239
25.06.2017-08:45;314;233;141;238
25.06.2017-09:00;314;233;141;238
25.06.2017-09:15;314;233;141;238
25.06.2017-09:30;314;234;140;238
25.06.2017-09:45;314;233;140;238
25.06.2017-10:00;314;233;140;238
25.06.2017-10:15;313;233;140;238
25.06.2017-10:30;313;233;140;238
25.06.2017-10:45;313;233;140;239
25.06.2017-11:00;312;233;140;239
25.06.2017-11:15;312;233;140;239
25.06.2017-11:30;313;233;141;239
25.06.2017-11:45;312;232;140;239
25.06.2017-12:00;312;233;139;239
25.06.2017-12:15;313;233;140;238
25.06.2017-12:30;312;233;139;239
25.06.2017-12:45;311;232;139;238
25.06.2017-13:00;311;233;140;238
25.06.2017-13:15;311;233;139;239
25.06.2017-13:30;311;233;139;237
25.06.2017-13:45;311;233;140;238
25.06.2017-14:00;311;232;139;238
25.06.2017-14:15;311;232;140;239
25.06.2017-14:30;310;232;140;237
25.06.2017-14:45;310;232;140;237
25.06.2017-15:00;311;232;139;235
