datetime;fremersdorf;hanweiler;sanktarnual
25.06.2017-00:15;206;235;189
25.06.2017-00:30;209;235;189
25.06.2017-00:45;208;236;189
25.06.2017-01:00;208;235;188
25.06.2017-01:15;208;235;188
25.06.2017-01:30;206;236;188
25.06.2017-01:45;202;235;188
25.06.2017-02:00;203;236;187
25.06.2017-02:15;203;236;189
25.06.2017-02:30;203;235;190
25.06.2017-02:45;206;235;190
25.06.2017-03:00;206;235;190
25.06.2017-03:15;206;236;190
25.06.2017-03:30;206;235;191
25.06.2017-03:45;205;235;192
25.06.2017-04:00;203;235;192
25.06.2017-04:15;204;236;192
25.06.2017-04:30;204;236;192
25.06.2017-04:45;204;235;193
25.06.2017-05:00;205;236;194
25.06.2017-05:15;205;235;194
25.06.2017-05:30;205;235;194
25.06.2017-05:45;206;234;195
25.06.2017-06:00;205;234;195
25.06.2017-06:15;204;234;195
25.06.2017-06:30;204;234;196
25.06.2017-06:45;204;234;196
25.06.2017-07:00;203;234;196
25.06.2017-07:15;201;234;196
25.06.2017-07:30;205;233;197
25.06.2017-07:45;201;233;197
25.06.2017-08:00;203;234;197
25.06.2017-08:15;203;233;198
25.06.2017-08:30;204;233;198
25.06.2017-08:45;203;235;198
25.06.2017-09:00;204;234;198
25.06.2017-09:15;203;235;198
25.06.2017-09:30;202;234;199
25.06.2017-09:45;204;234;199
25.06.2017-10:00;202;234;199
25.06.2017-10:15;200;234;199
25.06.2017-10:30;200;235;199
25.06.2017-10:45;203;234;199
25.06.2017-11:00;200;234;198
25.06.2017-11:15;197;234;199
25.06.2017-11:30;202;234;200
25.06.2017-11:45;203;234;198
25.06.2017-12:00;204;234;198
25.06.2017-12:15;202;234;199
25.06.2017-12:30;201;233;200
25.06.2017-12:45;199;235;198
25.06.2017-13:00;201;235;198
25.06.2017-13:15;200;234;199
25.06.2017-13:30;202;235;200
25.06.2017-13:45;202;234;199
25.06.2017-14:00;202;234;199
25.06.2017-14:15;202;233;200
25.06.2017-14:30;202;233;199
25.06.2017-14:45;199;233;198
25.06.2017-15:00;199;233;199
25.06.2017-15:15;197;234;198
25.06.2017-15:30;200;233;199
25.06.2017-15:45;198;233;199
25.06.2017-16:00;201;233;199
25.06.2017-16:15;201;234;198
25.06.2017-16:30;203;233;199
25.06.2017-16:45;201;234;199
25.06.2017-17:00;201;233;200
25.06.2017-17:15;199;233;199
25.06.2017-17:30;200;233;199
25.06.2017-17:45;201;233;200
25.06.2017-18:00;200;234;200
25.06.2017-18:15;202;234;200
25.06.2017-18:30;201;234;200
25.06.2017-18:45;202;234;200
25.06.2017-19:00;201;234;200
25.06.2017-19:15;201;234;200
25.06.2017-19:30;200;234;200
25.06.2017-19:45;201;234;200
25.06.2017-20:00;201;235;200
25.06.2017-20:15;201;234;200
25.06.2017-20:30;201;234;200
25.06.2017-20:45;202;235;200
25.06.2017-21:00;202;234;199
25.06.2017-21:15;202;235;199
25.06.2017-21:30;202;234;199
25.06.2017-21:45;201;234;198
25.06.2017-22:00;201;234;198
25.06.2017-22:15;201;233;198
25.06.2017-22:30;202;233;198
25.06.2017-22:45;202;234;197
25.06.2017-23:00;202;234;197
25.06.2017-23:15;202;234;197
25.06.2017-23:30;202;233;197
25.06.2017-23:45;202;234;197
25.06.2017-24:00;202;233;196
26.06.2017-00:15;202;233;196
26.06.2017-00:30;202;233;196
26.06.2017-00:45;202;233;196
26.06.2017-01:00;202;233;196
26.06.2017-01:15;202;233;195
26.06.2017-01:30;202;233;195
26.06.2017-01:45;203;234;195
26.06.2017-02:00;202;233;195
26.06.2017-02:15;202;234;195
26.06.2017-02:30;202;233;195
26.06.2017-02:45;202;233;195
26.06.2017-03:00;202;234;195
26.06.2017-03:15;202;234;196
26.06.2017-03:30;203;233;195
26.06.2017-03:45;203;234;195
26.06.2017-04:00;203;233;195
26.06.2017-04:15;203;234;196
26.06.2017-04:30;203;234;196
26.06.2017-04:45;203;233;196
26.06.2017-05:00;203;234;197
26.06.2017-05:15;203;233;197
26.06.2017-05:30;203;233;197
26.06.2017-05:45;200;234;197
26.06.2017-06:00;202;233;198
26.06.2017-06:15;203;234;198
26.06.2017-06:30;201;233;198
26.06.2017-06:45;202;233;198
26.06.2017-07:00;201;233;198
26.06.2017-07:15;201;233;199
26.06.2017-07:30;203;233;199
26.06.2017-07:45;205;233;199
26.06.2017-08:00;205;234;199
26.06.2017-08:15;201;234;199
26.06.2017-08:30;203;234;199
26.06.2017-08:45;201;234;199
26.06.2017-09:00;204;234;199
26.06.2017-09:15;207;234;199
26.06.2017-09:30;206;234;199
26.06.2017-09:45;204;234;200
26.06.2017-10:00;204;234;200
26.06.2017-10:15;204;234;200
26.06.2017-10:30;202;234;200
26.06.2017-10:45;202;234;200
26.06.2017-11:00;202;234;200
26.06.2017-11:15;204;234;200
26.06.2017-11:30;203;234;200
26.06.2017-11:45;201;234;200
26.06.2017-12:00;202;234;200
26.06.2017-12:15;200;234;201
26.06.2017-12:30;201;234;201
26.06.2017-12:45;202;234;201
26.06.2017-13:00;201;234;201
26.06.2017-13:15;202;234;201
26.06.2017-13:30;202;235;201
26.06.2017-13:45;201;234;201
26.06.2017-14:00;201;234;201
26.06.2017-14:15;202;234;201
26.06.2017-14:30;201;234;201
